code,hex,r,g,b,hsv_h,hsv_s,hsv_v,hsl_s,hsl_l,game_hue_x_pct,game_palette_x_pct_colorcraftlab,game_palette_y_pct_colorcraftlab,game_palette_x_pct_pure_hsv,game_palette_y_pct_pure_hsv
B13,#c8e87d,200,232,125,78,46.1,91.0,69.9,70.0,78.3,51.3,15.7,46.1,9.0
B14,#abe84f,171,232,79,84,65.9,91.0,76.9,61.0,76.7,68.3,18.6,65.9,9.0
B15,#305335,48,83,53,129,42.2,32.5,26.7,25.7,64.2,38.8,69.7,42.2,67.5
B16,#c0ed9c,192,237,156,93,34.2,92.9,69.2,77.1,74.2,41.9,12.2,34.2,7.1
B17,#9eb33e,158,179,62,71,65.4,70.2,48.5,47.3,80.3,61.7,37.1,65.4,29.8
B18,#e6ed4f,230,237,79,63,66.7,92.9,81.4,62.0,82.5,69.9,17.0,66.7,7.1
B19,#26b78e,38,183,142,163,79.2,71.8,65.6,43.3,54.7,76.2,37.3,79.2,28.2
B20,#cbeccf,203,236,207,127,14.0,92.5,46.5,86.1,64.7,21.1,9.5,14.0,7.5
B21,#18616a,24,97,106,187,77.4,41.6,63.1,25.5,48.1,74.3,63.6,77.4,58.4
B22,#0a4241,10,66,65,179,84.8,25.9,73.7,14.9,50.3,82.4,77.6,84.8,74.1
B23,#343b1a,52,59,26,73,55.9,23.1,38.8,16.7,79.7,52.1,78.9,55.9,76.9
B24,#e8faa6,232,250,166,73,33.6,98.0,89.4,81.6,79.7,45.9,7.2,33.6,2.0
B25,#4e846d,78,132,109,154,40.9,51.8,25.7,41.2,57.2,37.6,51.6,40.9,48.2
B26,#907c35,144,124,53,47,63.2,56.5,46.2,38.6,86.9,59.5,49.2,63.2,43.5
B27,#d0e0af,208,224,175,80,21.9,87.8,44.1,78.2,77.8,26.8,15.3,21.9,12.2
B28,#9ee5bb,158,229,187,145,31.0,89.8,57.7,75.9,59.7,36.9,14.6,31.0,10.2
B29,#c6df5f,198,223,95,72,57.4,87.5,66.7,62.4,80.0,59.4,20.5,57.4,12.5
B30,#e3fbb1,227,251,177,79,29.5,98.4,90.2,83.9,78.1,42.9,6.2,29.5,1.6
B31,#b4e691,180,230,145,95,37.0,90.2,63.0,73.5,73.6,42.7,15.1,37.0,9.8
B32,#92ad60,146,173,96,81,44.5,67.8,32.0,52.7,77.5,41.8,37.0,44.5,32.2
C1,#f0fee4,240,254,228,92,10.2,99.6,92.9,94.5,74.4,28.4,2.0,10.2,0.4
C2,#abf0fe,171,240,254,190,32.7,99.6,97.6,83.3,47.2,47.0,5.6,32.7,0.4
C3,#a2e0f7,162,224,247,196,34.4,96.9,84.2,80.2,45.6,45.4,8.4,34.4,3.1
C4,#44cdfb,68,205,251,195,72.9,98.4,95.8,62.5,45.8,77.9,13.1,72.9,1.6
C5,#06aadf,6,170,223,195,97.3,87.5,94.8,44.9,45.8,96.8,26.1,97.3,12.5
C6,#54a7e9,84,167,233,207,63.9,91.4,77.2,62.2,42.5,66.8,17.9,63.9,8.6
C7,#3977ca,57,119,202,214,71.8,79.2,57.8,50.8,40.6,68.7,29.9,71.8,20.8
C8,#0f52bd,15,82,189,217,92.1,74.1,85.3,40.0,39.7,90.6,36.8,92.1,25.9
C9,#3349c3,51,73,195,231,73.8,76.5,58.5,48.2,35.8,70.4,32.6,73.8,23.5
C10,#3cbce3,60,188,227,194,73.6,89.0,74.9,56.3,46.1,73.9,21.5,73.6,11.0
C11,#2aded3,42,222,211,176,81.1,87.1,73.2,51.8,51.1,79.4,24.2,81.1,12.9
C12,#1e334e,30,51,78,214,61.5,30.6,44.4,21.2,40.6,57.7,72.4,61.5,69.4
C13,#cde7fe,205,231,254,208,19.3,99.6,96.1,90.0,42.2,36.2,3.5,19.3,0.4
C14,#d5fcf7,213,252,247,172,15.5,98.8,86.7,91.2,52.2,31.2,3.6,15.5,1.2
C15,#21c5c4,33,197,196,180,83.2,77.3,71.3,45.1,50.0,80.6,33.0,83.2,22.7
C16,#1858a2,24,88,162,212,85.2,63.5,74.2,36.5,41.1,82.8,45.1,85.2,36.5
C17,#02d1f3,2,209,243,188,99.2,95.3,98.4,48.0,47.8,99.0,19.8,99.2,4.7
C18,#213244,33,50,68,211,51.5,26.7,34.7,19.8,41.4,47.8,75.5,51.5,73.3
C19,#18869d,24,134,157,190,84.7,61.6,73.5,35.5,47.2,82.2,46.8,84.7,38.4
C20,#1a70a9,26,112,169,204,84.6,66.3,73.3,38.2,43.3,82.1,42.7,84.6,33.7
C21,#bcddfc,188,221,252,209,25.4,98.8,91.4,86.3,41.9,39.9,5.2,25.4,1.2
C22,#6bb1bb,107,177,187,188,42.8,73.3,37.0,57.6,47.8,41.5,31.7,42.8,26.7
C23,#c8e2fd,200,226,253,211,20.9,99.2,93.0,88.8,41.4,36.8,4.1,20.9,0.8
C24,#7ec5f9,126,197,249,205,49.4,97.6,91.1,73.5,43.1,58.6,10.1,49.4,2.4
C25,#a9e8e0,169,232,224,172,27.2,91.0,57.8,78.6,52.2,33.9,13.0,27.2,9.0
C26,#42adcf,66,173,207,194,68.1,81.2,59.5,53.5,46.1,66.2,27.7,68.1,18.8
C27,#d0def9,208,222,249,220,16.5,97.6,77.4,89.6,38.9,29.9,5.0,16.5,2.4
C28,#bdcee8,189,206,232,216,18.5,91.0,48.3,82.5,40.0,25.1,11.7,18.5,9.0
C29,#364a89,54,74,137,226,60.6,53.7,43.5,37.5,37.2,56.8,51.5,60.6,46.3
D1,#acb7ef,172,183,239,230,28.0,93.7,67.7,80.6,36.1,36.7,10.5,28.0,6.3
D2,#868dd3,134,141,211,235,36.5,82.7,46.7,67.6,34.7,38.7,22.1,36.5,17.3
D3,#3554af,53,84,175,225,69.7,68.6,53.5,44.7,37.5,66.1,39.0,69.7,31.4
D4,#162d7b,22,45,123,226,82.1,48.2,69.7,28.4,37.2,79.4,58.1,82.1,51.8
D5,#b34ec6,179,78,198,290,60.6,77.6,51.3,54.1,19.4,58.6,29.9,60.6,22.4
D6,#b37bdc,179,123,220,275,44.1,86.3,58.1,67.3,23.6,47.2,19.8,44.1,13.7
D7,#8758a9,135,88,169,275,47.9,66.3,32.0,50.4,23.6,44.4,38.8,47.9,33.7
D8,#e3d2fe,227,210,254,263,17.3,99.6,95.7,91.0,26.9,34.5,3.2,17.3,0.4
D9,#d5b9f4,213,185,244,268,24.2,95.7,72.8,84.1,25.6,34.9,8.0,24.2,4.3
D10,#301a49,48,26,73,268,64.4,28.6,47.5,19.4,25.6,60.7,74.3,64.4,71.4
D11,#beb9e2,190,185,226,247,18.1,88.6,41.4,80.6,31.4,23.2,14.0,18.1,11.4
D12,#dc99ce,220,153,206,313,30.5,86.3,48.9,73.1,13.1,34.5,17.9,30.5,13.7
D13,#b5038d,181,3,141,313,98.3,71.0,96.7,36.1,13.1,97.9,40.2,98.3,29.0
D14,#862993,134,41,147,293,72.1,57.6,56.4,36.9,18.6,68.6,49.0,72.1,42.4
D15,#2f1f8c,47,31,140,249,77.9,54.9,63.7,33.5,30.8,74.8,51.9,77.9,45.1
D16,#e2e4f0,226,228,240,231,5.8,94.1,31.8,91.4,35.8,11.5,6.8,5.8,5.9
D17,#c7d3f9,199,211,249,226,20.1,97.6,80.6,87.8,37.2,33.4,5.5,20.1,2.4
D18,#9a64b8,154,100,184,279,45.7,72.2,37.2,55.7,22.5,43.8,33.1,45.7,27.8
D19,#d8c2d9,216,194,217,297,10.6,85.1,23.2,80.6,17.5,13.4,16.3,10.6,14.9
D20,#9a35ad,154,53,173,290,69.4,67.8,53.1,44.3,19.4,65.8,39.7,69.4,32.2
D21,#940595,148,5,149,300,96.6,58.4,93.5,30.2,16.7,95.9,50.6,96.6,41.6
D22,#38389a,56,56,154,240,63.6,60.4,46.7,41.2,33.3,59.9,45.7,63.6,39.6
D23,#eadbf8,234,219,248,271,11.7,97.3,67.4,91.6,24.7,24.0,4.5,11.7,2.7
D24,#768ae1,118,138,225,229,47.6,88.2,64.1,67.3,36.4,51.2,18.5,47.6,11.8
D25,#4950c2,73,80,194,237,62.4,76.1,49.8,52.4,34.2,59.6,31.5,62.4,23.9
D26,#d6c6eb,214,198,235,266,15.7,92.2,48.1,84.9,26.1,22.8,10.1,15.7,7.8
E1,#f6d4cb,246,212,203,13,17.5,96.5,70.5,88.0,96.4,29.2,6.2,17.5,3.5
E2,#fcc1dd,252,193,221,332,23.4,98.8,90.8,87.3,7.8,38.2,4.9,23.4,1.2
E3,#f6bde8,246,189,232,315,23.2,96.5,76.0,85.3,12.5,34.8,7.1,23.2,3.5
E4,#e8649e,232,100,158,334,56.9,91.0,74.2,65.1,7.2,60.7,17.3,56.9,9.0
E5,#f0569f,240,86,159,332,64.2,94.1,83.7,63.9,7.8,68.5,15.6,64.2,5.9
E6,#eb4172,235,65,114,343,72.3,92.2,81.0,58.8,4.7,74.2,18.5,72.3,7.8
E7,#c53674,197,54,116,334,72.6,77.3,57.0,49.2,7.2,69.2,31.7,72.6,22.7
E8,#fddbe9,253,219,233,335,13.4,99.2,89.5,92.5,6.9,30.1,2.9,13.4,0.8
E9,#e376c7,227,118,199,315,48.0,89.0,66.1,67.6,12.5,52.0,17.8,48.0,11.0
E10,#d13b95,209,59,149,324,71.8,82.0,62.0,52.5,10.0,69.6,27.4,71.8,18.0
E11,#f7dad4,247,218,212,10,14.2,96.9,68.6,90.0,97.2,26.2,5.3,14.2,3.1
E12,#f693bf,246,147,191,333,40.2,96.5,84.6,77.1,7.5,50.0,9.7,40.2,3.5
E13,#b5026a,181,2,106,325,98.9,71.0,97.8,35.9,9.7,98.7,40.2,98.9,29.0
E14,#fad4bf,250,212,191,21,23.6,98.0,85.5,86.5,94.2,37.2,5.7,23.6,2.0
E15,#f5c9ca,245,201,202,359,18.0,96.1,68.8,87.5,0.3,29.2,6.7,18.0,3.9
E16,#fbf4ec,251,244,236,32,6.0,98.4,65.2,95.5,91.1,19.0,2.5,6.0,1.6
E17,#f7e3ec,247,227,236,333,8.1,96.9,55.6,92.9,7.5,18.6,4.4,8.1,3.1
E18,#f9c8db,249,200,219,337,19.7,97.6,80.3,88.0,6.4,33.0,5.5,19.7,2.4
E19,#f6bbd1,246,187,209,338,24.0,96.5,76.6,84.9,6.1,35.6,7.2,24.0,3.5
E20,#d7c6ce,215,198,206,332,7.9,84.3,17.5,81.0,7.8,10.0,16.8,7.9,15.7
E21,#c09da4,192,157,164,348,18.2,75.3,21.7,68.4,3.3,19.0,26.9,18.2,24.7
E22,#b38c9f,179,140,159,331,21.8,70.2,20.4,62.5,8.1,21.5,32.3,21.8,29.8
E23,#937d8a,147,125,138,325,15.0,57.6,9.2,53.3,9.7,13.7,43.8,15.0,42.4
E24,#debee5,222,190,229,289,17.0,89.8,42.9,82.2,19.7,22.7,12.6,17.0,10.2
F1,#fe9381,254,147,129,9,49.2,99.6,98.4,75.1,97.5,60.0,8.2,49.2,0.4
F2,#f63d4b,246,61,75,355,75.2,96.5,91.1,60.2,1.4,78.7,15.1,75.2,3.5
F3,#ee4e3e,238,78,62,5,73.9,93.3,83.8,58.8,98.6,76.1,17.7,73.9,6.7
F4,#fb2a40,251,42,64,354,83.3,98.4,96.3,57.5,1.7,86.2,14.7,83.3,1.6
F5,#e10328,225,3,40,350,98.7,88.2,97.4,44.7,2.8,98.4,25.7,98.7,11.8
F6,#913635,145,54,53,1,63.4,56.9,46.5,38.8,99.7,59.7,48.9,63.4,43.1
F7,#911932,145,25,50,348,82.8,56.9,70.6,33.3,3.3,80.1,50.7,82.8,43.1
F8,#bb0126,187,1,38,348,99.5,73.3,98.9,36.9,3.3,99.4,38.3,99.5,26.7
F9,#e0677a,224,103,122,351,54.0,87.8,66.1,64.1,2.5,56.7,19.8,54.0,12.2
F10,#874628,135,70,40,19,70.4,52.9,54.3,34.3,94.7,66.9,53.1,70.4,47.1
F11,#592323,89,35,35,0,60.7,34.9,43.5,24.3,0.0,56.9,68.5,60.7,65.1
F12,#f3536b,243,83,107,351,65.8,95.3,87.0,63.9,2.5,70.5,14.7,65.8,4.7
F13,#f45c45,244,92,69,8,71.7,95.7,88.8,61.4,97.8,75.5,15.3,71.7,4.3
F14,#fcadb2,252,173,178,356,31.3,98.8,92.9,83.3,1.1,44.9,6.2,31.3,1.2
F15,#d50527,213,5,39,350,97.7,83.5,95.4,42.7,2.8,97.2,29.6,97.7,16.5
F16,#f8c0a9,248,192,169,17,31.9,97.3,84.9,81.8,95.3,43.6,7.7,31.9,2.7
F17,#e89b7d,232,155,125,17,46.1,91.0,69.9,70.0,95.3,51.3,15.7,46.1,9.0
F18,#d07f4a,208,127,74,24,64.4,81.6,58.8,55.3,93.3,63.2,26.8,64.4,18.4
F19,#be454a,190,69,74,358,63.7,74.5,48.2,50.8,0.6,60.3,33.1,63.7,25.5
F20,#c69495,198,148,149,359,25.3,77.6,30.5,67.8,0.3,26.4,25.5,25.3,22.4
F21,#f2b8c6,242,184,198,346,24.0,94.9,69.0,83.5,3.9,33.9,8.7,24.0,5.1
F22,#f7c3d0,247,195,208,345,21.1,96.9,76.5,86.7,4.2,33.3,6.4,21.1,3.1
F23,#ed806c,237,128,108,9,54.4,92.9,78.2,67.6,97.5,59.6,15.2,54.4,7.1
F24,#e09daf,224,157,175,344,29.9,87.8,51.9,74.7,4.4,34.7,16.4,29.9,12.2
F25,#e84854,232,72,84,356,69.0,91.0,77.7,59.6,1.1,70.9,19.0,69.0,9.0
G1,#ffe4d3,255,228,211,23,17.3,100.0,100.0,91.4,93.6,35.5,2.8,17.3,0.0
G2,#fcc6ac,252,198,172,19,31.7,98.8,93.0,83.1,94.7,45.2,6.2,31.7,1.2
G3,#f1c4a5,241,196,165,24,31.5,94.5,73.1,79.6,93.3,40.7,10.3,31.5,5.5
G4,#dcb387,220,179,135,31,38.6,86.3,54.8,69.6,91.4,42.2,19.0,38.6,13.7
G5,#e7b34e,231,179,78,40,66.2,90.6,76.1,60.6,88.9,68.4,19.0,66.2,9.4
G6,#e3a014,227,160,20,41,91.2,89.0,83.8,48.4,88.6,89.6,24.0,91.2,11.0
G7,#985c3a,152,92,58,22,61.8,59.6,44.8,41.2,93.9,58.1,46.3,61.8,40.4
G8,#713d2f,113,61,47,13,58.4,44.3,41.2,31.4,96.4,54.6,59.8,58.4,55.7
G9,#e4b685,228,182,133,31,41.7,89.4,63.8,70.8,91.4,46.6,16.6,41.7,10.6
G10,#da8c42,218,140,66,29,69.7,85.5,67.3,55.7,91.9,69.2,24.0,69.7,14.5
G11,#dac898,218,200,152,44,30.3,85.5,47.1,72.5,87.8,34.0,18.7,30.3,14.5
G12,#fec993,254,201,147,30,42.1,99.6,98.2,78.6,91.7,54.4,7.1,42.1,0.4
G13,#b2714b,178,113,75,22,57.9,69.8,40.7,49.6,93.9,54.1,36.7,57.9,30.2
G14,#8b684c,139,104,76,27,45.3,54.5,29.3,42.2,92.5,41.8,49.4,45.3,45.5
G15,#f6f8e3,246,248,227,66,8.5,97.3,60.0,93.1,81.7,19.8,4.0,8.5,2.7
G16,#f2d8c1,242,216,193,28,20.2,94.9,65.3,85.3,92.2,30.1,8.2,20.2,5.1
G17,#77544e,119,84,78,9,34.5,46.7,20.8,38.6,97.5,31.5,55.9,34.5,53.3
G18,#ffe3d5,255,227,213,20,16.5,100.0,100.0,91.8,94.4,34.9,2.6,16.5,0.0
G19,#dd7d41,221,125,65,23,70.6,86.7,69.6,56.1,93.6,70.4,23.1,70.6,13.3
G20,#a5452f,165,69,47,11,71.5,64.7,55.7,41.6,96.9,68.0,42.7,71.5,35.3
G21,#b38561,179,133,97,26,45.8,70.2,35.0,54.1,92.8,43.4,35.0,45.8,29.8
H1,#ffffff,255,255,255,0,0.0,100.0,0.0,100.0,0.0,0,0,0.0,0.0
H2,#fbfbfb,251,251,251,0,0.0,98.4,0.0,98.4,0.0,0,1.6,0.0,1.6
H3,#b4b4b4,180,180,180,0,0.0,70.6,0.0,70.6,0.0,0,29.4,0.0,29.4
H4,#878787,135,135,135,0,0.0,52.9,0.0,52.9,0.0,0,47.1,0.0,47.1
H5,#464648,70,70,72,240,2.8,28.2,1.4,27.8,33.3,2.5,71.9,2.8,71.8
H6,#2c2c2c,44,44,44,0,0.0,17.3,0.0,17.3,0.0,0,82.7,0.0,82.7
H7,#010101,1,1,1,0,0.0,0.4,0.0,0.4,0.0,0,99.6,0.0,99.6
H8,#e7d6dc,231,214,220,339,7.4,90.6,26.2,87.3,5.8,11.5,10.5,7.4,9.4
H9,#efedee,239,237,238,330,0.8,93.7,5.9,93.3,8.3,1.9,6.4,0.8,6.3
H10,#ebebeb,235,235,235,0,0.0,92.2,0.0,92.2,0.0,0,7.8,0.0,7.8
H11,#cdcdcd,205,205,205,0,0.0,80.4,0.0,80.4,0.0,0,19.6,0.0,19.6
H12,#fdf6ee,253,246,238,32,5.9,99.2,78.9,96.3,91.1,22.0,1.7,5.9,0.8
H13,#f4efd1,244,239,209,51,14.3,95.7,61.4,88.8,85.8,24.7,6.5,14.3,4.3
H14,#ced7d4,206,215,212,160,4.2,84.3,10.1,82.5,55.6,5.5,16.3,4.2,15.7
H15,#9aa6a6,154,166,166,180,7.2,65.1,6.3,62.7,50.0,7.0,35.7,7.2,34.9
H16,#1b1213,27,18,19,353,33.3,10.6,20.0,8.8,1.9,30.4,90.0,33.3,89.4
H17,#f0eeef,240,238,239,330,0.8,94.1,6.2,93.7,8.3,2.0,6.0,0.8,5.9
H18,#fcfff6,252,255,246,80,3.5,100.0,100.0,98.2,77.8,24.7,0.6,3.5,0.0
H19,#f2eee5,242,238,229,42,5.4,94.9,33.3,92.4,88.3,11.5,5.9,5.4,5.1
H20,#96a09f,150,160,159,174,6.2,62.7,5.0,60.8,51.7,5.9,37.9,6.2,37.3
H21,#f8fbe6,248,251,230,69,8.4,98.4,72.4,94.3,80.8,22.5,2.9,8.4,1.6
H22,#cacad2,202,202,210,240,3.8,82.4,8.2,80.8,33.3,4.8,18.1,3.8,17.6
H23,#9b9c94,155,156,148,68,5.1,61.2,3.9,59.6,81.1,4.8,39.3,5.1,38.8
M1,#bbc6b6,187,198,182,101,8.1,77.6,12.3,74.5,71.9,9.0,23.4,8.1,22.4
M2,#909994,144,153,148,147,5.9,60.0,4.2,58.2,59.2,5.5,40.6,5.9,40.0
M3,#697e81,105,126,129,188,18.6,50.6,10.3,45.9,47.8,16.8,50.9,18.6,49.4
M4,#e0d4bc,224,212,188,40,16.1,87.8,36.7,80.8,88.9,20.6,14.4,16.1,12.2
M5,#d1ccaf,209,204,175,51,16.3,82.0,27.0,75.3,85.8,18.7,20.1,16.3,18.0
M6,#b0aa86,176,170,134,51,23.9,69.0,21.0,60.8,85.8,23.3,33.6,23.9,31.0
M7,#b0a796,176,167,150,39,14.8,69.0,14.1,63.9,89.2,14.6,32.6,14.8,31.0
M8,#ae8082,174,128,130,357,26.4,68.2,22.1,59.2,0.8,25.5,34.7,26.4,31.8
M9,#a68862,166,136,98,34,41.0,65.1,27.6,51.8,90.6,38.1,39.2,41.0,34.9
M10,#c4b3bb,196,179,187,332,8.7,76.9,12.6,73.5,7.8,9.6,24.2,8.7,23.1
M11,#9d7693,157,118,147,315,24.8,61.6,16.6,53.9,12.5,23.0,40.9,24.8,38.4
M12,#644b51,100,75,81,346,25.0,39.2,14.3,34.3,3.9,22.6,62.4,25.0,60.8
M13,#c79266,199,146,102,27,48.7,78.0,46.4,59.0,92.5,48.2,28.1,48.7,22.0
M14,#c27563,194,117,99,11,49.0,76.1,43.8,57.5,96.9,47.9,29.9,49.0,23.9
M15,#747d7a,116,125,122,160,7.2,49.0,3.7,47.3,55.6,6.4,51.5,7.2,51.0
